North Knox High School,100,116,97,85,397,10890 State Hwy 159,Bicknell,IN,47512,31,16,1,null,null,null,null,null,null
South Knox Middle-High School,101,94,83,88,366,6116 IN-61,Vincennes,In,47591,31,16,1,TRUE,null,null,null,null,null
Tecumseh Jr-Sr High Sch,76,86,88,59,309,5244 IN-68,Lynn,IN,47619,31,16,1,null,null,null,null,null,null
North Daviess Jr-Sr High School,87,80,72,67,306,5494 E State Rd 58,Elnora,IN,47529,31,16,1,null,null,null,null,null,null
Barr Reeve Jr-Sr High School,54,47,47,55,203,293 3rd St,Montgomery,In,47558,31,16,1,null,null,null,null,null,null
Vincennes Rivet Middle & HS,28,23,23,24,98,210 Barnett St,Vincennes,In,47591,31,16,1,null,null,null,null,null,null
Washington Catholic Mid/HS,16,16,18,21,71,201 NE 2nd St,Wahington,IN,47501,31,16,1,null,null,null,null,null,null
Castle High School,479,532,475,448,1934,3344 IN-261,Newburgh,IN,47630,32,16,1,null,null,null,null,null,null
Evans. North High School,449,450,386,329,1614,15331 Highway 41 N.,Evansville,IN,47725,32,16,1,null,null,null,null,null,null
Evans. F.J. Reitz High School,351,376,322,306,1355,951 Walnut St,Evansville,IN,47713-1821,32,16,1,null,null,null,null,null,null
Evans. Harrison High School,352,354,281,256,1243,211 Fielding Rd,Evansville,IN,47715,32,16,1,null,null,null,null,null,null
Evans. Central High School,298,317,277,293,1185,5400 N 1st Ave,Evansville,IN,47710,32,16,1,null,null,null,null,3,null
Boonville High School,246,234,211,212,903,300 N 1st St,Boonville,IN,46701,32,16,1,null,null,null,null,null,null
Evans. Bosse High School,212,197,236,157,802,1300 Washington Ave,Evansville,IN,47714,32,16,1,null,null,null,null,null,null
Evans. Reitz Memorial HS,184,159,185,162,690,1500 Lincoln Ave.,Evansville,IN,47714,32,16,1,null,null,null,null,null,null
Mt. Vernon High School,165,176,182,136,659,8112 N 200 W,Fortvile,IN,46040,32,16,1,null,null,null,null,null,null
Evans. Mater Dei HS,112,153,144,120,529,1300 Harmony Way,Evansville,IN,47720,32,16,1,TRUE,null,null,null,null,null
North Posey Sr High Sch,130,113,118,137,498,5900 High School Rd,Poseyville,IN,47633,32,16,1,null,null,null,null,null,null
Signature School Inc,109,92,74,86,361,610 Main St,Evansville,IN,47708,32,16,1,null,null,null,null,null,null
Terra Haute South Vigo High School,520,458,418,382,1778,3737 S 7th St,Terre Haute,IN,47802,null,null,null,null,null,null,null,null,null
Washington High School,187,203,171,181,742,301 E South St,Washington,IN,47501-3294,null,null,null,null,null,null,null,null,null
Lawrenceburg High School,152,166,171,130,619,100 Tiger Blvd.,Lawrenceburg,IN,47025,null,null,null,null,null,null,null,null,null
Heritage Jr/Sr High School,143,157,142,132,605,13608 Monroeville Rd.,Monroeville,IN,46773,null,null,null,null,null,null,null,null,null
Lakeland High School,142,159,143,131,577,805 E 075 N,LaGrange,IN,46761,null,null,null,null,null,null,null,null,null
Wheeler High School,128,163,131,131,553,587 W 300 N,Valparaiso,IN,46385,null,null,null,null,null,null,null,null,null
Southridge High School,125,157,128,121,531,1110 S Main St,Huntingburg,IN,47542,null,null,null,null,null,null,null,null,null
Milan High School,103,113,100,95,411,609 N Warpath Dr,Milan,IN,47031,null,null,null,null,null,null,null,null,null
Indpls. Howe Comm High School,95,99,89,74,357,4900 Julian Ave,Indianapolis,IN,46201,null,null,null,null,null,null,null,null,null
South Decature Jr-Sr High Sch,82,86,75,70,313,8885 Indiana 3,Greensburg,IN,47240,null,null,null,null,null,null,null,null,null
Indpls. Lighthouse Charter School,77,77,63,61,278,4002 N Franklin Rd,Indianapolis,IN,46226,null,null,null,null,null,null,null,null,null
Wood Memorial High,69,69,66,73,277,941 S Franklin St,Oakland City,IN,47660,null,null,null,null,null,null,null,null,null
Indpls. Metropolitan High Sch,38,68,84,68,258,1635 W Michigan St,Indianapolis,IN,46222,null,null,null,null,null,null,null,null,null
Providence Cristo Rey HS,84,73,51,47,255,75 N Beleview Pl,Indianapolis,IN,46222,null,null,null,null,null,null,null,null,null
Christel House Academy,74,53,59,46,232,2717 S East St,Indianapolis,IN,46225,null,null,null,null,null,null,null,null,null
Morristown Jr-Sr High School,49,52,49,44,194,500 earick St,Argos,IN,45501,null,null,null,null,null,null,null,null,null
International Sch of Indiana HS,35,53,43,34,165,4330 N Michigan Rd,Indianapolis,IN,46208,null,null,null,null,null,null,null,null,null
Turkey Run High School,41,36,41,41,159,1497 IN-47,Marshall,IN,47859,null,null,null,null,null,null,null,null,null
Hamilton Community High Sch,29,35,24,33,1214,903 S Wayne St,Hamilton,IN,46742,null,null,null,null,null,null,null,null,null
Covenant Christian (DeMotte) HS,26,24,24,25,99,611 15th St SW,De Motte,In,46310,null,null,null,null,null,null,null,null,null
Traders Point Christian Academy,33,16,27,20,96,5608 Whitestown Pkwy,Whitestown,In,46075,null,null,null,null,null,null,null,null,null
Evans. Day School,19,16,21,25,81,3400 N Green River Rd,Evansville,In,47715,null,null,null,null,null,null,null,null,null
Central Christian Academy,7,16,27,18,58,2565 Villa Ave,Indianapolis,IN,46203,null,null,null,null,null,null,null,null,null
Indiana School For The Blind,19,9,15,14,57,7725 N college Ave,Indianapolis,In,46240,null,null,null,null,null,null,null,null,null
Smith Academy for Excellence,10,7,7,9,33,725 W Washington Blvd,Fort Wayne,IN,46802,null,null,null,null,null,null,null,null,null
